elapsed_sec,pid,rss_kb,fd_count,thread_count,child_count,screen_count,refresh_file_count,probe_pid
0,126889,44816,6,1,0,1,0,0
1,126889,44816,6,1,0,1,0,0
2,126889,44816,6,1,0,1,0,0
3,126889,44816,6,1,0,1,0,0
4,126889,44816,6,1,0,1,0,0
5,126889,44816,6,1,0,1,0,0
7,126889,44816,6,1,0,1,0,0
8,126889,44816,6,1,0,1,0,0
9,126889,44816,6,1,0,1,0,0
10,126889,44816,6,1,0,1,0,0
11,126889,44820,9,2,0,1,0,127133
13,126889,44816,6,1,0,1,0,0
14,126889,44816,6,1,0,1,0,0
15,126889,44816,6,1,0,1,0,0
16,126889,44816,6,1,0,1,0,0
17,126889,44816,6,1,0,1,0,0
18,126889,44816,6,1,0,1,0,0
20,126889,44816,6,1,0,1,0,0
21,126889,44816,6,1,0,1,0,0
22,126889,44816,6,1,0,1,0,0
23,126889,44816,6,1,0,1,0,0
24,126889,44816,6,1,0,1,0,0
26,126889,44816,6,1,0,1,0,0
27,126889,44820,9,2,0,1,0,0
28,126889,44820,9,2,0,1,0,127420
29,126889,44816,6,1,0,1,0,0
30,126889,44816,6,1,0,1,0,0
31,126889,44816,6,1,0,1,0,0
33,126889,44816,6,1,0,1,0,0
34,126889,44816,6,1,0,1,0,0
35,126889,44816,6,1,0,1,0,0
36,126889,44816,6,1,0,1,0,0
37,126889,44816,6,1,0,1,0,0
38,126889,44816,6,1,0,1,0,0
40,126889,44816,6,1,0,1,0,0
41,126889,44816,6,1,0,1,0,0
42,126889,44816,6,1,0,1,0,0
43,126889,44820,9,2,0,1,0,0
44,126889,44820,9,2,0,1,0,127710
46,126889,44816,6,1,0,1,0,0
47,126889,44816,6,1,0,1,0,0
48,126889,44816,6,1,0,1,0,0
49,126889,44816,6,1,0,1,0,0
50,126889,44816,6,1,0,1,0,0
51,126889,44816,6,1,0,1,0,0
53,126889,44816,6,1,0,1,0,0
54,126889,44816,6,1,0,1,0,0
55,126889,44816,6,1,0,1,0,0
56,126889,44816,6,1,0,1,0,0
57,126889,44816,6,1,0,1,0,0
59,126889,44816,6,1,0,1,0,0
60,126889,44820,9,2,0,1,0,0
