elapsed_sec,pid,rss_kb,fd_count,thread_count,child_count,screen_count,refresh_file_count
0,112824,44816,6,1,0,1,0
1,112824,44816,6,1,0,1,0
2,112824,44816,6,1,0,1,0
3,112824,44816,6,1,0,1,0
4,112824,44816,6,1,0,1,0
5,112824,44816,6,1,0,1,0
6,112824,44816,6,1,0,1,0
7,112824,44816,6,1,0,1,0
8,112824,44816,6,1,0,1,0
10,112824,44816,6,1,0,1,0
11,112824,44820,9,2,0,1,0
12,112824,44820,9,2,0,1,0
13,112824,44816,6,1,0,1,0
14,112824,44816,6,1,0,1,0
15,112824,44816,6,1,0,1,0
16,112824,44816,6,1,0,1,0
17,112824,44816,6,1,0,1,0
19,112824,44816,6,1,0,1,0
20,112824,44816,6,1,0,1,0
21,112824,44816,6,1,0,1,0
22,112824,44816,6,1,0,1,0
23,112824,44816,6,1,0,1,0
24,112824,44816,6,1,0,1,0
25,112824,44816,6,1,0,1,0
26,112824,44816,6,1,0,1,0
28,112824,44820,9,2,0,1,0
29,112824,44816,6,1,0,1,0
30,112824,44816,6,1,0,1,0
31,112824,44816,6,1,0,1,0
32,112824,44816,6,1,0,1,0
33,112824,44816,6,1,0,1,0
34,112824,44816,6,1,0,1,0
35,112824,44816,6,1,0,1,0
36,112824,44816,6,1,0,1,0
37,112824,44816,6,1,0,1,0
39,112824,44816,6,1,0,1,0
40,112824,44816,6,1,0,1,0
41,112824,44816,6,1,0,1,0
42,112824,44816,6,1,0,1,0
43,112824,44816,6,1,0,1,0
44,112824,44820,9,2,0,1,0
45,112824,44816,6,1,0,1,0
46,112824,44816,6,1,0,1,0
48,112824,44816,6,1,0,1,0
49,112824,44816,6,1,0,1,0
50,112824,44816,6,1,0,1,0
51,112824,44816,6,1,0,1,0
52,112824,44816,6,1,0,1,0
53,112824,44816,6,1,0,1,0
54,112824,44816,6,1,0,1,0
55,112824,44816,6,1,0,1,0
57,112824,44816,6,1,0,1,0
58,112824,44816,6,1,0,1,0
59,112824,44816,6,1,0,1,0
60,112824,44820,9,2,0,1,0
61,112824,44820,9,2,0,1,0
62,112824,44816,6,1,0,1,0
63,112824,44816,6,1,0,1,0
64,112824,44816,6,1,0,1,0
65,112824,44816,6,1,0,1,0
67,112824,44816,6,1,0,1,0
68,112824,44816,6,1,0,1,0
69,112824,44816,6,1,0,1,0
70,112824,44816,6,1,0,1,0
71,112824,44816,6,1,0,1,0
72,112824,44816,6,1,0,1,0
73,112824,44816,6,1,0,1,0
74,112824,44816,6,1,0,1,0
76,112824,44816,6,1,0,1,0
77,112824,44820,9,2,0,1,0
78,112824,44816,6,1,0,1,0
79,112824,44816,6,1,0,1,0
80,112824,44816,6,1,0,1,0
81,112824,44816,6,1,0,1,0
82,112824,44816,6,1,0,1,0
83,112824,44816,6,1,0,1,0
85,112824,44816,6,1,0,1,0
86,112824,44816,6,1,0,1,0
87,112824,44816,6,1,0,1,0
88,112824,44816,6,1,0,1,0
89,112824,44816,6,1,0,1,0
90,112824,44816,6,1,0,1,0
91,112824,44816,6,1,0,1,0
92,112824,44816,6,1,0,1,0
94,112824,44820,9,2,0,1,0
95,112824,44816,6,1,0,1,0
96,112824,44816,6,1,0,1,0
97,112824,44816,6,1,0,1,0
98,112824,44816,6,1,0,1,0
99,112824,44816,6,1,0,1,0
100,112824,44816,6,1,0,1,0
101,112824,44816,6,1,0,1,0
102,112824,44816,6,1,0,1,0
104,112824,44816,6,1,0,1,0
105,112824,44816,6,1,0,1,0
106,112824,44816,6,1,0,1,0
107,112824,44816,6,1,0,1,0
108,112824,44816,6,1,0,1,0
109,112824,44820,9,2,0,1,0
110,112824,44820,9,2,0,1,0
112,112824,44816,6,1,0,1,0
113,112824,44816,6,1,0,1,0
114,112824,44816,6,1,0,1,0
115,112824,44816,6,1,0,1,0
116,112824,44816,6,1,0,1,0
117,112824,44816,6,1,0,1,0
118,112824,44816,6,1,0,1,0
119,112824,44816,6,1,0,1,0
120,112824,44816,6,1,0,1,0
122,112824,44816,6,1,0,1,0
123,112824,44816,6,1,0,1,0
124,112824,44816,6,1,0,1,0
125,112824,44816,6,1,0,1,0
126,112824,44820,9,2,0,1,0
127,112824,44816,6,1,0,1,0
128,112824,44816,6,1,0,1,0
129,112824,44816,6,1,0,1,0
131,112824,44816,6,1,0,1,0
132,112824,44816,6,1,0,1,0
133,112824,44816,6,1,0,1,0
134,112824,44816,6,1,0,1,0
135,112824,44816,6,1,0,1,0
136,112824,44816,6,1,0,1,0
137,112824,44816,6,1,0,1,0
138,112824,44816,6,1,0,1,0
140,112824,44816,6,1,0,1,0
141,112824,44816,6,1,0,1,0
142,112824,44816,6,1,0,1,0
143,112824,44820,9,2,0,1,0
144,112824,44816,6,1,0,1,0
145,112824,44816,6,1,0,1,0
146,112824,44816,6,1,0,1,0
147,112824,44816,6,1,0,1,0
148,112824,44816,6,1,0,1,0
150,112824,44816,6,1,0,1,0
151,112824,44816,6,1,0,1,0
152,112824,44816,6,1,0,1,0
153,112824,44816,6,1,0,1,0
154,112824,44816,6,1,0,1,0
155,112824,44816,6,1,0,1,0
156,112824,44816,6,1,0,1,0
158,112824,44816,6,1,0,1,0
159,112824,44820,9,2,0,1,0
160,112824,44820,9,2,0,1,0
161,112824,44816,6,1,0,1,0
162,112824,44816,6,1,0,1,0
163,112824,44816,6,1,0,1,0
164,112824,44816,6,1,0,1,0
165,112824,44816,6,1,0,1,0
166,112824,44816,6,1,0,1,0
168,112824,44816,6,1,0,1,0
169,112824,44816,6,1,0,1,0
170,112824,44816,6,1,0,1,0
171,112824,44816,6,1,0,1,0
172,112824,44816,6,1,0,1,0
173,112824,44816,6,1,0,1,0
174,112824,44816,6,1,0,1,0
175,112824,44820,9,2,0,1,0
177,112824,44816,6,1,0,1,0
178,112824,44816,6,1,0,1,0
179,112824,44816,6,1,0,1,0
180,112824,44816,6,1,0,1,0
181,112824,44816,6,1,0,1,0
182,112824,44816,6,1,0,1,0
183,112824,44816,6,1,0,1,0
184,112824,44816,6,1,0,1,0
185,112824,44816,6,1,0,1,0
187,112824,44816,6,1,0,1,0
188,112824,44816,6,1,0,1,0
189,112824,44816,6,1,0,1,0
190,112824,44816,6,1,0,1,0
191,112824,44816,6,1,0,1,0
192,112824,44820,9,2,0,1,0
193,112824,44816,6,1,0,1,0
194,112824,44816,6,1,0,1,0
196,112824,44816,6,1,0,1,0
197,112824,44816,6,1,0,1,0
198,112824,44816,6,1,0,1,0
199,112824,44816,6,1,0,1,0
200,112824,44816,6,1,0,1,0
201,112824,44816,6,1,0,1,0
202,112824,44816,6,1,0,1,0
203,112824,44816,6,1,0,1,0
205,112824,44816,6,1,0,1,0
206,112824,44816,6,1,0,1,0
207,112824,44816,6,1,0,1,0
208,112824,44820,12,2,0,1,0
209,112824,44820,9,2,0,1,0
210,112824,44816,6,1,0,1,0
211,112824,44816,6,1,0,1,0
212,112824,44816,6,1,0,1,0
214,112824,44816,6,1,0,1,0
215,112824,44816,6,1,0,1,0
216,112824,44816,6,1,0,1,0
217,112824,44816,6,1,0,1,0
218,112824,44816,6,1,0,1,0
219,112824,44816,6,1,0,1,0
220,112824,44816,6,1,0,1,0
221,112824,44816,6,1,0,1,0
223,112824,44816,6,1,0,1,0
224,112824,44816,6,1,0,1,0
225,112824,44820,9,2,0,1,0
