utc	mpv_pid	etimes	send_q	fds
2026-07-10T19:38:47Z	10475	132	89088	29
2026-07-10T19:38:52Z	10475	137	89088	29
2026-07-10T19:38:57Z	10475	142	89088	29
2026-07-10T19:39:02Z	10475	147	89088	29
2026-07-10T19:39:07Z	10475	153	89088	29
2026-07-10T19:39:12Z	10475	158	89088	29
2026-07-10T19:39:17Z	10475	163	99840	29
2026-07-10T19:39:23Z	10475	168	109056	29
2026-07-10T19:39:28Z	10475	173	118272	29
2026-07-10T19:39:33Z	10475	178	125952	29
2026-07-10T19:39:38Z	10475	183	125952	29
2026-07-10T19:39:43Z	10475	188	125952	29
2026-07-10T19:39:48Z	10475	194	125952	29
2026-07-10T19:39:53Z	10475	199	125952	29
2026-07-10T19:39:58Z	10475	204	125952	29
2026-07-10T19:40:04Z	10475	209	132096	27
2026-07-10T19:40:09Z	10475	214	140544	29
2026-07-10T19:40:14Z	10475	219	140544	29
2026-07-10T19:40:19Z	10475	224	148224	29
2026-07-10T19:40:24Z	10475	230	148992	29
2026-07-10T19:40:51Z	10475	257	170496	29
2026-07-10T19:40:56Z	10475	262	170496	29
2026-07-10T19:41:01Z	10475	267	170496	29
2026-07-10T19:41:07Z	10475	272	170496	29
2026-07-10T19:41:12Z	10475	277	170496	29
2026-07-10T19:41:17Z	10475	282	170496	29
2026-07-10T19:41:22Z	10475	287	181248	29
2026-07-10T19:41:27Z	10475	293	191232	29
2026-07-10T19:41:32Z	10475	298	200448	29
2026-07-10T19:41:37Z	10475	303	208128	29
2026-07-10T19:41:43Z	10475	308	208128	29
2026-07-10T19:41:48Z	10475	313	208128	29
2026-07-10T19:41:53Z	10475	318	208128	29
2026-07-10T19:41:58Z	10475	323	208128	29
2026-07-10T19:42:03Z	10475	328	208128	29
2026-07-10T19:42:08Z	10475	334	213504	29
2026-07-10T19:42:13Z	10475	339	213504	29
2026-07-10T19:42:18Z	11802	0	0	18
2026-07-10T19:42:24Z			0	0
2026-07-10T19:42:29Z	11851	4	14592	29
