seq	rel_sec	wall_time	ipc_result	ipc_error	ipc_elapsed_ms	current_alias	path_alias	filename_alias	time_pos	duration	percent_pos	idle_active	pause	eof_reached	estimated_frame_number	hwdec_current	vo_configured	video_params_json	property_errors_json	status_present	status_playback_state	status_current_alias	status_path_alias	status_duration_ms	status_current_index	status_mpv_running	status_snapshot_json
1	0.001	2026-07-10T19:54:32+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	0.766667	3.9	19.65812	false	false	false	23	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	player_starting						"{""black_screen_risk_reason"":""present"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":null,""current_item"":{},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":null,""next_item"":{},""playback_state"":""player_starting"",""playlist_size"":1,""present"":true,""uptime_sec"":1}"
2	1.005	2026-07-10T19:54:33+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	1.766667	3.9	45.299145	false	false	false	53	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	player_starting						"{""black_screen_risk_reason"":""present"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":null,""current_item"":{},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":null,""next_item"":{},""playback_state"":""player_starting"",""playlist_size"":1,""present"":true,""uptime_sec"":1}"
3	2.010	2026-07-10T19:54:34+0000	success		11	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	2.766667	3.9	70.940171	false	false	false	82	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
4	3.024	2026-07-10T19:54:35+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	3.8	3.9	97.435897	false	false	false	113	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
5	4.029	2026-07-10T19:54:36+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	0.866667	3.9	22.222222	false	false	false	26	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
6	5.034	2026-07-10T19:54:37+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	1.866667	3.9	47.863248	false	false	false	56	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
7	6.038	2026-07-10T19:54:38+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	2.866667	3.9	73.504274	false	false	false	85	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
8	7.043	2026-07-10T19:54:39+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	3.866667	3.9	99.145299	false	false	false	115	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":11}"
9	8.047	2026-07-10T19:54:40+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	0.933333	3.9	23.931624	false	false	false	28	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":11}"
10	9.051	2026-07-10T19:54:41+0000	success		2	<media-path:31af3d58a2>	<media-path:31af3d58a2>	<filename:92829f14a9>	0.1	3.9	2.564103	false	false	false	3	v4l2request-copy	true	"{""aspect"":0.566038,""dh"":848,""dw"":480,""h"":848,""par"":1.0,""pixelformat"":""nv12"",""rotate"":0,""stereo-in"":""mono"",""w"":480}"	"{""duration"":""success"",""eof-reached"":""success"",""estimated-frame-number"":""success"",""filename"":""success"",""hwdec-current"":""success"",""idle-active"":""success"",""path"":""success"",""pause"":""success"",""percent-pos"":""success"",""time-pos"":""success"",""video-params"":""success"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":11}"
