seq	rel_sec	wall_time	ipc_result	ipc_error	ipc_elapsed_ms	current_alias	path_alias	filename_alias	time_pos	duration	percent_pos	idle_active	pause	eof_reached	estimated_frame_number	hwdec_current	vo_configured	video_params_json	property_errors_json	status_present	status_playback_state	status_current_alias	status_path_alias	status_duration_ms	status_current_index	status_mpv_running	status_snapshot_json
1	0.001	2026-07-10T19:51:48+0000	success		2							true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	player_starting						"{""black_screen_risk_reason"":""present"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":null,""current_item"":{},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":null,""next_item"":{},""playback_state"":""player_starting"",""playlist_size"":1,""present"":true,""uptime_sec"":1}"
2	1.006	2026-07-10T19:51:49+0000	success		2							true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	player_starting						"{""black_screen_risk_reason"":""present"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":null,""current_item"":{},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":null,""next_item"":{},""playback_state"":""player_starting"",""playlist_size"":1,""present"":true,""uptime_sec"":1}"
3	2.010	2026-07-10T19:51:50+0000	success		2							true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	player_starting						"{""black_screen_risk_reason"":""present"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":null,""current_item"":{},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":null,""next_item"":{},""playback_state"":""player_starting"",""playlist_size"":1,""present"":true,""uptime_sec"":1}"
4	3.014	2026-07-10T19:51:51+0000	success		2	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
5	4.019	2026-07-10T19:51:52+0000	success		2	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
6	5.023	2026-07-10T19:51:53+0000	success		3	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
7	6.029	2026-07-10T19:51:54+0000	success		3	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
8	7.035	2026-07-10T19:51:55+0000	success		3	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":6}"
9	8.042	2026-07-10T19:51:56+0000	success		2	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":11}"
10	9.046	2026-07-10T19:51:57+0000	success		2	<media-path:31af3d58a2>						true	false				false	{}	"{""duration"":""property unavailable"",""eof-reached"":""property unavailable"",""estimated-frame-number"":""property unavailable"",""filename"":""property unavailable"",""hwdec-current"":""property unavailable"",""idle-active"":""success"",""path"":""property unavailable"",""pause"":""success"",""percent-pos"":""property unavailable"",""time-pos"":""property unavailable"",""video-params"":""property unavailable"",""vo-configured"":""success""}"	true	playing	media-73d0e2214b	<media-path:31af3d58a2>	10000	0	true	"{""black_screen_risk_reason"":""null"",""blocked_media_count"":0,""consecutive_failures"":0,""current_index"":0,""current_item"":{""alias"":""media-73d0e2214b"",""duration_ms"":10000,""offset_ms"":0,""path_alias"":""<media-path:31af3d58a2>"",""started_at_present"":true},""last_poll_error"":""polling_disabled"",""last_render_error"":""null"",""mpv_running"":true,""next_item"":{},""playback_state"":""playing"",""playlist_size"":1,""present"":true,""uptime_sec"":11}"
