utc	mpv_pid	etimes	estab_count	max_send_q	service_nrestarts
2026-07-10T20:19:13Z	18182	641	0	0	0
2026-07-10T20:19:18Z	18182	646	0	0	0
2026-07-10T20:19:23Z	18182	652	0	0	0
2026-07-10T20:19:28Z	18182	657	0	0	0
2026-07-10T20:19:33Z	18182	662	0	0	0
2026-07-10T20:19:38Z	18182	667	0	0	0
2026-07-10T20:19:44Z	18182	672	0	0	0
2026-07-10T20:19:49Z	18182	677	0	0	0
2026-07-10T20:19:54Z	18182	683	0	0	0
2026-07-10T20:19:59Z	18182	688	0	0	0
2026-07-10T20:20:04Z	18182	693	0	0	0
2026-07-10T20:20:10Z	18182	698	0	0	0
2026-07-10T20:20:15Z	18182	703	0	0	0
2026-07-10T20:20:20Z	18182	709	0	0	0
2026-07-10T20:20:25Z	18182	714	0	0	0
2026-07-10T20:20:30Z	18182	719	0	0	0
2026-07-10T20:20:35Z	18182	724	0	0	0
2026-07-10T20:20:41Z	18182	729	0	0	0
2026-07-10T20:20:46Z	18182	734	0	0	0
2026-07-10T20:20:51Z	18182	740	1	0	0
2026-07-10T20:20:56Z	18182	745	0	0	0
2026-07-10T20:21:01Z	18182	750	0	0	0
2026-07-10T20:21:06Z	18182	755	0	0	0
2026-07-10T20:21:12Z	18182	760	0	0	0
2026-07-10T20:21:17Z	18182	765	0	0	0
2026-07-10T20:21:22Z	18182	771	0	0	0
2026-07-10T20:21:27Z	18182	776	0	0	0
2026-07-10T20:21:32Z	18182	781	0	0	0
2026-07-10T20:21:38Z	18182	786	0	0	0
2026-07-10T20:21:43Z	18182	791	0	0	0
2026-07-10T20:21:48Z	18182	797	0	0	0
2026-07-10T20:21:53Z	18182	802	0	0	0
2026-07-10T20:21:58Z	18182	807	0	0	0
2026-07-10T20:22:03Z	18182	812	0	0	0
2026-07-10T20:22:09Z	18182	817	0	0	0
2026-07-10T20:22:14Z	18182	822	0	0	0
2026-07-10T20:22:19Z	18182	828	0	0	0
2026-07-10T20:22:24Z	18182	833	0	0	0
2026-07-10T20:22:29Z	18182	838	0	0	0
2026-07-10T20:22:35Z	18182	843	0	0	0
2026-07-10T20:22:40Z	18182	848	0	0	0
2026-07-10T20:22:45Z	18182	853	0	0	0
2026-07-10T20:22:50Z	18182	859	0	0	0
2026-07-10T20:22:55Z	18182	864	0	0	0
2026-07-10T20:23:00Z	18182	869	1	0	0
2026-07-10T20:23:06Z	18182	874	1	0	0
2026-07-10T20:23:11Z	18182	879	1	0	0
2026-07-10T20:23:16Z	18182	885	0	0	0
2026-07-10T20:23:21Z	18182	890	0	0	0
2026-07-10T20:23:26Z	18182	895	0	0	0
2026-07-10T20:23:31Z	18182	900	0	0	0
2026-07-10T20:23:37Z	18182	905	0	0	0
2026-07-10T20:23:42Z	18182	910	0	0	0
2026-07-10T20:23:47Z	18182	915	0	0	0
2026-07-10T20:23:52Z	18182	921	0	0	0
2026-07-10T20:23:57Z	18182	926	0	0	0
2026-07-10T20:24:02Z	18182	931	0	0	0
2026-07-10T20:24:07Z	18182	936	0	0	0
2026-07-10T20:24:13Z	18182	941	0	0	0
2026-07-10T20:24:18Z	18182	946	0	0	0
2026-07-10T20:24:23Z	18182	952	0	0	0
2026-07-10T20:24:28Z	18182	957	0	0	0
2026-07-10T20:24:33Z	18182	962	0	0	0
2026-07-10T20:24:38Z	18182	967	0	0	0
2026-07-10T20:24:44Z	18182	972	0	0	0
2026-07-10T20:24:49Z	18182	977	1	0	0
2026-07-10T20:24:54Z	18182	983	0	0	0
2026-07-10T20:24:59Z	18182	988	1	0	0
2026-07-10T20:25:04Z	18182	993	0	0	0
2026-07-10T20:25:09Z	18182	998	0	0	0
2026-07-10T20:25:15Z	18182	1003	1	0	0
2026-07-10T20:25:20Z	18182	1008	0	0	0
