utc	mpv_pid	etimes	estab_count	max_send_q	service_nrestarts
2026-07-10T20:08:33Z	18182	1	2	0	0
2026-07-10T20:08:38Z	18182	7	0	0	0
2026-07-10T20:08:43Z	18182	12	0	0	0
2026-07-10T20:08:48Z	18182	17	0	0	0
2026-07-10T20:08:53Z	18182	22	0	0	0
2026-07-10T20:08:59Z	18182	27	0	0	0
2026-07-10T20:09:04Z	18182	32	0	0	0
2026-07-10T20:09:09Z	18182	38	0	0	0
2026-07-10T20:09:14Z	18182	43	0	0	0
2026-07-10T20:09:19Z	18182	48	0	0	0
2026-07-10T20:09:24Z	18182	53	0	0	0
2026-07-10T20:09:30Z	18182	58	0	0	0
2026-07-10T20:09:35Z	18182	63	0	0	0
2026-07-10T20:09:40Z	18182	69	0	0	0
2026-07-10T20:09:45Z	18182	74	0	0	0
2026-07-10T20:09:50Z	18182	79	0	0	0
2026-07-10T20:09:56Z	18182	84	0	0	0
2026-07-10T20:10:01Z	18182	89	0	0	0
2026-07-10T20:10:06Z	18182	95	0	0	0
2026-07-10T20:10:11Z	18182	100	1	0	0
2026-07-10T20:10:16Z	18182	105	0	0	0
2026-07-10T20:10:21Z	18182	110	1	0	0
2026-07-10T20:10:27Z	18182	115	0	0	0
2026-07-10T20:10:32Z	18182	120	0	0	0
2026-07-10T20:10:37Z	18182	126	0	0	0
2026-07-10T20:10:42Z	18182	131	0	0	0
2026-07-10T20:10:47Z	18182	136	0	0	0
2026-07-10T20:10:52Z	18182	141	0	0	0
2026-07-10T20:10:58Z	18182	146	0	0	0
2026-07-10T20:11:03Z	18182	151	0	0	0
2026-07-10T20:11:08Z	18182	156	0	0	0
2026-07-10T20:11:13Z	18182	162	0	0	0
2026-07-10T20:11:18Z	18182	167	0	0	0
2026-07-10T20:11:23Z	18182	172	0	0	0
2026-07-10T20:11:29Z	18182	177	0	0	0
2026-07-10T20:11:34Z	18182	182	0	0	0
2026-07-10T20:11:39Z	18182	188	0	0	0
2026-07-10T20:11:44Z	18182	193	0	0	0
2026-07-10T20:11:49Z	18182	198	0	0	0
2026-07-10T20:11:55Z	18182	203	0	0	0
2026-07-10T20:12:00Z	18182	208	0	0	0
2026-07-10T20:12:05Z	18182	214	0	0	0
2026-07-10T20:12:10Z	18182	219	0	0	0
2026-07-10T20:12:15Z	18182	224	0	0	0
2026-07-10T20:12:20Z	18182	229	0	0	0
2026-07-10T20:12:26Z	18182	234	0	0	0
2026-07-10T20:12:31Z	18182	239	0	0	0
2026-07-10T20:12:36Z	18182	245	0	0	0
2026-07-10T20:12:41Z	18182	250	1	0	0
2026-07-10T20:12:46Z	18182	255	0	0	0
2026-07-10T20:12:51Z	18182	260	0	0	0
2026-07-10T20:12:57Z	18182	265	0	0	0
2026-07-10T20:13:02Z	18182	270	0	0	0
2026-07-10T20:13:07Z	18182	275	0	0	0
2026-07-10T20:13:12Z	18182	281	0	0	0
2026-07-10T20:13:17Z	18182	286	0	0	0
2026-07-10T20:13:22Z	18182	291	0	0	0
2026-07-10T20:13:28Z	18182	296	0	0	0
2026-07-10T20:13:33Z	18182	301	0	0	0
2026-07-10T20:13:38Z	18182	306	0	0	0
2026-07-10T20:13:43Z	18182	312	0	0	0
2026-07-10T20:13:48Z	18182	317	0	0	0
2026-07-10T20:13:53Z	18182	322	0	0	0
2026-07-10T20:13:58Z	18182	327	0	0	0
2026-07-10T20:14:04Z	18182	332	0	0	0
2026-07-10T20:14:09Z	18182	337	0	0	0
2026-07-10T20:14:14Z	18182	343	0	0	0
2026-07-10T20:14:19Z	18182	348	1	0	0
2026-07-10T20:14:24Z	18182	353	1	0	0
2026-07-10T20:14:29Z	18182	358	0	0	0
2026-07-10T20:14:35Z	18182	363	1	0	0
2026-07-10T20:14:40Z	18182	368	0	0	0
2026-07-10T20:14:45Z	18182	373	0	0	0
2026-07-10T20:14:50Z	18182	379	0	0	0
2026-07-10T20:14:55Z	18182	384	0	0	0
2026-07-10T20:15:00Z	18182	389	0	0	0
2026-07-10T20:15:06Z	18182	394	0	0	0
2026-07-10T20:15:11Z	18182	399	0	0	0
2026-07-10T20:15:16Z	18182	405	0	0	0
2026-07-10T20:15:21Z	18182	410	0	0	0
2026-07-10T20:15:26Z	18182	415	0	0	0
2026-07-10T20:15:31Z	18182	420	0	0	0
2026-07-10T20:15:37Z	18182	425	0	0	0
2026-07-10T20:15:42Z	18182	430	0	0	0
2026-07-10T20:15:47Z	18182	436	0	0	0
2026-07-10T20:15:52Z	18182	441	0	0	0
2026-07-10T20:15:57Z	18182	446	0	0	0
2026-07-10T20:16:03Z	18182	451	0	0	0
2026-07-10T20:16:08Z	18182	456	0	0	0
